,timestamp,ch1_bias,ch1_derivedPk,ch1_direct,ch1_directRMS,ch1_velocityPk,ch1_velocityRMS,ch2_bias,ch2_derivedPk,ch2_direct,ch2_directRMS,ch2_velocityPk,ch2_velocityRMS,status,volts
137,1/23/2025 13:01,-11.983,0.028,0.068,0.02,0.036,0.018,-12.024,0.039,0.142,0.028,0.037,0.021,baseline,50
138,1/23/2025 13:01,-11.983,0.028,0.067,0.02,0.034,0.019,-12.024,0.048,0.112,0.034,0.039,0.02,baseline,50
139,1/23/2025 13:01,-11.983,0.031,0.067,0.022,0.034,0.018,-12.024,0.047,0.11,0.033,0.038,0.02,baseline,50
140,1/23/2025 13:01,-11.983,0.031,0.074,0.022,0.036,0.018,-12.024,0.038,0.101,0.027,0.039,0.022,baseline,50
141,1/23/2025 13:01,-11.983,0.027,0.07,0.019,0.036,0.02,-12.024,0.047,0.116,0.034,0.039,0.021,baseline,50
142,1/23/2025 13:01,-11.983,0.027,0.074,0.019,0.033,0.018,-12.024,0.039,0.108,0.028,0.036,0.02,baseline,50
143,1/23/2025 13:01,-11.982,0.03,0.076,0.021,0.037,0.02,-12.024,0.05,0.115,0.035,0.036,0.021,baseline,50
144,1/23/2025 13:01,-11.983,0.032,0.07,0.023,0.035,0.018,-12.024,0.04,0.119,0.028,0.039,0.022,baseline,50
145,1/23/2025 13:02,-11.982,0.028,0.079,0.02,0.033,0.02,-12.024,0.043,0.104,0.031,0.038,0.02,baseline,50
146,1/23/2025 13:02,-11.983,0.027,0.069,0.019,0.033,0.018,-12.024,0.049,0.124,0.035,0.037,0.022,baseline,50
147,1/23/2025 13:02,-11.983,0.028,0.071,0.02,0.037,0.02,-12.024,0.053,0.108,0.038,0.039,0.02,baseline,50
148,1/23/2025 13:02,-11.983,0.031,0.088,0.022,0.034,0.02,-12.024,0.038,0.104,0.027,0.037,0.022,baseline,50
149,1/23/2025 13:02,-11.983,0.028,0.067,0.02,0.036,0.019,-12.024,0.041,0.117,0.029,0.038,0.02,baseline,50
150,1/23/2025 13:02,-11.983,0.032,0.091,0.023,0.034,0.02,-12.024,0.051,0.1,0.036,0.039,0.022,baseline,50
151,1/23/2025 13:02,-11.983,0.029,0.072,0.02,0.037,0.018,-12.024,0.043,0.12,0.031,0.038,0.02,baseline,50
152,1/23/2025 13:02,-11.983,0.032,0.072,0.023,0.034,0.02,-12.024,0.039,0.104,0.027,0.038,0.023,baseline,50
153,1/23/2025 13:02,-11.983,0.029,0.084,0.02,0.037,0.018,-12.024,0.046,0.121,0.032,0.039,0.021,baseline,50
154,1/23/2025 13:02,-11.983,0.029,0.069,0.02,0.034,0.021,-12.024,0.043,0.122,0.031,0.039,0.022,baseline,50
155,1/23/2025 13:02,-11.983,0.028,0.071,0.02,0.033,0.019,-12.024,0.046,0.104,0.033,0.037,0.021,baseline,50
156,1/23/2025 13:03,-11.983,0.032,0.083,0.023,0.036,0.022,-12.024,0.05,0.103,0.035,0.039,0.022,baseline,50
157,1/23/2025 13:03,-11.983,0.032,0.088,0.023,0.035,0.019,-12.024,0.04,0.128,0.028,0.038,0.021,baseline,50
158,1/23/2025 13:03,-11.983,0.027,0.068,0.019,0.037,0.02,-12.024,0.04,0.126,0.028,0.037,0.022,baseline,50
159,1/23/2025 13:03,-11.983,0.031,0.076,0.022,0.035,0.021,-12.024,0.048,0.101,0.034,0.039,0.024,baseline,50
160,1/23/2025 13:03,-11.983,0.035,0.082,0.025,0.037,0.019,-12.024,0.042,0.105,0.03,0.038,0.02,baseline,50
161,1/23/2025 13:03,-11.983,0.029,0.072,0.021,0.036,0.021,-12.024,0.049,0.118,0.034,0.038,0.022,baseline,50
162,1/23/2025 13:03,-11.983,0.031,0.071,0.022,0.038,0.022,-12.024,0.041,0.121,0.029,0.039,0.021,baseline,50
163,1/23/2025 13:03,-11.983,0.028,0.076,0.02,0.035,0.019,-12.024,0.042,0.098,0.03,0.039,0.02,baseline,50
164,1/23/2025 13:03,-11.983,0.029,0.077,0.02,0.037,0.02,-12.024,0.045,0.118,0.032,0.038,0.023,baseline,50
165,1/23/2025 13:03,-11.983,0.031,0.07,0.022,0.035,0.019,-12.024,0.049,0.125,0.035,0.039,0.025,baseline,50
